line_number, langsxp, r_ms, c_ms, r_percent, c_percent 
1, {, 0, 0, 0.000000, 0.000000
2, lapply, 300, 11441, 2.279289, 86.924480
2, :, 0, 0, 0.000000, 0.000000
2, function, 0, 0, 0.000000, 0.000000
2, {, 0, 0, 0.000000, 0.000000
4, <-, 0, 0, 0.000000, 0.000000
4, matrix, 0, 0, 0.000000, 0.000000
4, rnorm, 280, 378, 2.127336, 2.871904
4, *, 0, 0, 0.000000, 0.000000
5, <-, 0, 0, 0.000000, 0.000000
5, matrix, 0, 0, 0.000000, 0.000000
5, rnorm, 300, 463, 2.279289, 3.517702
5, *, 0, 0, 0.000000, 0.000000
8, <-, 0, 0, 0.000000, 0.000000
8, Sys.time, 0, 0, 0.000000, 0.000000
9, <-, 0, 0, 0.000000, 0.000000
9, %*%, 0, 0, 0.000000, 0.000000
10, <-, 0, 0, 0.000000, 0.000000
10, Sys.time, 0, 0, 0.000000, 0.000000
15, {, 0, 0, 0.000000, 0.000000
16, foo, 0, 0, 0.000000, 0.000000
